sr_no,States,Regions,latitude,longitude,Dates,Usage,Date
0,Punjab,NR,31.51997398,75.98000281,28/10/2019,95.3,10/28/19
1,Haryana,NR,28.45000633,77.01999101,28/10/2019,105.7,10/28/19
2,Rajasthan,NR,26.44999921,74.63998124,28/10/2019,205.6,10/28/19
3,Delhi,NR,28.6699929,77.23000403,28/10/2019,59.2,10/28/19
4,NR UP,NR,27.59998069,78.05000565,28/10/2019,232.8,10/28/19
5,Uttarakhand,NR,30.32040895,78.05000565,28/10/2019,33.2,10/28/19
6,HP,NR,31.10002545,77.16659704,28/10/2019,24.6,10/28/19
7,J&K,NR,33.45,76.24,28/10/2019,42.6,10/28/19
8,Chandigarh,NR,30.71999697,76.78000565,28/10/2019,3.3,10/28/19
9,Chhattisgarh,WR,22.09042035,82.15998734,28/10/2019,85.1,10/28/19
10,Gujarat,WR,22.2587,71.1924,28/10/2019,338,10/28/19
11,MP,WR,21.30039105,76.13001949,28/10/2019,202.7,10/28/19
12,Maharashtra,WR,19.25023195,73.16017493,28/10/2019,490.5,10/28/19
13,Goa,WR,15.491997,73.81800065,28/10/2019,10.4,10/28/19
14,DNH,WR,20.26657819,73.0166178,28/10/2019,18.7,10/28/19
15,Andhra Pradesh,SR,14.7504291,78.57002559,28/10/2019,201.2,10/28/19
16,Telangana,SR,18.1124,79.0193,28/10/2019,241.2,10/28/19
17,Karnataka,SR,12.57038129,76.91999711,28/10/2019,255.6,10/28/19
18,Kerala,SR,8.900372741,76.56999263,28/10/2019,83,10/28/19
19,Tamil Nadu,SR,12.92038576,79.15004187,28/10/2019,337.6,10/28/19
20,Pondy,SR,11.93499371,79.83000037,28/10/2019,8,10/28/19
21,Bihar,ER,25.78541445,87.4799727,28/10/2019,71.7,10/28/19
22,Jharkhand,ER,23.80039349,86.41998572,28/10/2019,23.7,10/28/19
23,Odisha,ER,19.82042971,85.90001746,28/10/2019,79.4,10/28/19
24,West Bengal,ER,22.58039044,88.32994665,28/10/2019,129,10/28/19
25,Sikkim,ER,27.3333303,88.6166475,28/10/2019,1.4,10/28/19
26,Arunachal Pradesh,NER,27.10039878,93.61660071,28/10/2019,2.1,10/28/19
27,Assam,NER,26.7499809,94.21666744,28/10/2019,23.4,10/28/19
28,Manipur,NER,24.79997072,93.95001705,28/10/2019,2.3,10/28/19
29,NER Meghalaya,NER,25.57049217,91.8800142,28/10/2019,5.4,10/28/19
30,Mizoram,NER,23.71039899,92.72001461,28/10/2019,1.6,10/28/19
31,Nagaland,NER,25.6669979,94.11657019,28/10/2019,2.1,10/28/19
32,Tripura,NER,23.83540428,91.27999914,28/10/2019,3.9,10/28/19
33,ALL INDIA TOTAL,,,,28/10/2019,3494.4,10/28/19
34,Punjab,NR,31.51997398,75.98000281,29/10/2019,96.5,10/29/19
35,Haryana,NR,28.45000633,77.01999101,29/10/2019,111.5,10/29/19
36,Rajasthan,NR,26.44999921,74.63998124,29/10/2019,213.6,10/29/19
37,Delhi,NR,28.6699929,77.23000403,29/10/2019,60.2,10/29/19
38,NR UP,NR,27.59998069,78.05000565,29/10/2019,240.9,10/29/19
39,Uttarakhand,NR,30.32040895,78.05000565,29/10/2019,33.8,10/29/19
40,HP,NR,31.10002545,77.16659704,29/10/2019,24.1,10/29/19
41,J&K,NR,33.45,76.24,29/10/2019,43.1,10/29/19
42,Chandigarh,NR,30.71999697,76.78000565,29/10/2019,3.2,10/29/19
43,Chhattisgarh,WR,22.09042035,82.15998734,29/10/2019,89.8,10/29/19
44,Gujarat,WR,22.2587,71.1924,29/10/2019,349.9,10/29/19
45,MP,WR,21.30039105,76.13001949,29/10/2019,205.4,10/29/19
46,Maharashtra,WR,19.25023195,73.16017493,29/10/2019,499.3,10/29/19
47,Goa,WR,15.491997,73.81800065,29/10/2019,11.1,10/29/19
48,DNH,WR,20.26657819,73.0166178,29/10/2019,18.9,10/29/19
49,Andhra Pradesh,SR,14.7504291,78.57002559,29/10/2019,205.1,10/29/19
50,Telangana,SR,18.1124,79.0193,29/10/2019,247.4,10/29/19
51,Karnataka,SR,12.57038129,76.91999711,29/10/2019,256.9,10/29/19
52,Kerala,SR,8.900372741,76.56999263,29/10/2019,84.5,10/29/19
53,Tamil Nadu,SR,12.92038576,79.15004187,29/10/2019,346.2,10/29/19
54,Pondy,SR,11.93499371,79.83000037,29/10/2019,8.3,10/29/19
55,Bihar,ER,25.78541445,87.4799727,29/10/2019,72,10/29/19
56,Jharkhand,ER,23.80039349,86.41998572,29/10/2019,24.5,10/29/19
57,Odisha,ER,19.82042971,85.90001746,29/10/2019,79.6,10/29/19
58,West Bengal,ER,22.58039044,88.32994665,29/10/2019,142,10/29/19
59,Sikkim,ER,27.3333303,88.6166475,29/10/2019,1.4,10/29/19
60,Arunachal Pradesh,NER,27.10039878,93.61660071,29/10/2019,2,10/29/19
61,Assam,NER,26.7499809,94.21666744,29/10/2019,23.9,10/29/19
62,Manipur,NER,24.79997072,93.95001705,29/10/2019,2.6,10/29/19
63,NER Meghalaya,NER,25.57049217,91.8800142,29/10/2019,5.4,10/29/19
64,Mizoram,NER,23.71039899,92.72001461,29/10/2019,1.7,10/29/19
65,Nagaland,NER,25.6669979,94.11657019,29/10/2019,2.2,10/29/19
66,Tripura,NER,23.83540428,91.27999914,29/10/2019,3.8,10/29/19
67,ALL INDIA TOTAL,,,,29/10/2019,3586.4,10/29/19
68,Punjab,NR,31.51997398,75.98000281,30/10/2019,102.4,10/30/19
69,Haryana,NR,28.45000633,77.01999101,30/10/2019,115.1,10/30/19
70,Rajasthan,NR,26.44999921,74.63998124,30/10/2019,215.2,10/30/19
71,Delhi,NR,28.6699929,77.23000403,30/10/2019,60.7,10/30/19
72,NR UP,NR,27.59998069,78.05000565,30/10/2019,249.9,10/30/19
73,Uttarakhand,NR,30.32040895,78.05000565,30/10/2019,34,10/30/19
74,HP,NR,31.10002545,77.16659704,30/10/2019,24.7,10/30/19
75,J&K,NR,33.45,76.24,30/10/2019,46,10/30/19
76,Chandigarh,NR,30.71999697,76.78000565,30/10/2019,3.2,10/30/19
77,Chhattisgarh,WR,22.09042035,82.15998734,30/10/2019,89.1,10/30/19
78,Gujarat,WR,22.2587,71.1924,30/10/2019,355.9,10/30/19
79,MP,WR,21.30039105,76.13001949,30/10/2019,203.4,10/30/19
80,Maharashtra,WR,19.25023195,73.16017493,30/10/2019,479.6,10/30/19
81,Goa,WR,15.491997,73.81800065,30/10/2019,10.9,10/30/19
82,DNH,WR,20.26657819,73.0166178,30/10/2019,19,10/30/19
83,Andhra Pradesh,SR,14.7504291,78.57002559,30/10/2019,204.3,10/30/19
84,Telangana,SR,18.1124,79.0193,30/10/2019,256.2,10/30/19
85,Karnataka,SR,12.57038129,76.91999711,30/10/2019,256,10/30/19
86,Kerala,SR,8.900372741,76.56999263,30/10/2019,84.7,10/30/19
87,Tamil Nadu,SR,12.92038576,79.15004187,30/10/2019,347.2,10/30/19
88,Pondy,SR,11.93499371,79.83000037,30/10/2019,8.3,10/30/19
89,Bihar,ER,25.78541445,87.4799727,30/10/2019,73.4,10/30/19
90,Jharkhand,ER,23.80039349,86.41998572,30/10/2019,24.4,10/30/19
91,Odisha,ER,19.82042971,85.90001746,30/10/2019,80.3,10/30/19
92,West Bengal,ER,22.58039044,88.32994665,30/10/2019,142.2,10/30/19
93,Sikkim,ER,27.3333303,88.6166475,30/10/2019,1.4,10/30/19
94,Arunachal Pradesh,NER,27.10039878,93.61660071,30/10/2019,2.2,10/30/19
95,Assam,NER,26.7499809,94.21666744,30/10/2019,23.7,10/30/19
96,Manipur,NER,24.79997072,93.95001705,30/10/2019,2.9,10/30/19
97,NER Meghalaya,NER,25.57049217,91.8800142,30/10/2019,5.4,10/30/19
98,Mizoram,NER,23.71039899,92.72001461,30/10/2019,1.8,10/30/19
99,Nagaland,NER,25.6669979,94.11657019,30/10/2019,2.2,10/30/19
100,Tripura,NER,23.83540428,91.27999914,30/10/2019,3.8,10/30/19
101,ALL INDIA TOTAL,,,,30/10/2019,3604.8,10/30/19
102,Punjab,NR,31.51997398,75.98000281,31/10/2019,103.9,10/31/19
103,Haryana,NR,28.45000633,77.01999101,31/10/2019,116.2,10/31/19
104,Rajasthan,NR,26.44999921,74.63998124,31/10/2019,216.8,10/31/19
105,Delhi,NR,28.6699929,77.23000403,31/10/2019,60.6,10/31/19
106,NR UP,NR,27.59998069,78.05000565,31/10/2019,256.7,10/31/19
107,Uttarakhand,NR,30.32040895,78.05000565,31/10/2019,33.7,10/31/19
108,HP,NR,31.10002545,77.16659704,31/10/2019,24.7,10/31/19
109,J&K,NR,33.45,76.24,31/10/2019,44.8,10/31/19
110,Chandigarh,NR,30.71999697,76.78000565,31/10/2019,3.1,10/31/19
111,Chhattisgarh,WR,22.09042035,82.15998734,31/10/2019,83.7,10/31/19
112,Gujarat,WR,22.2587,71.1924,31/10/2019,364.5,10/31/19
113,MP,WR,21.30039105,76.13001949,31/10/2019,200.5,10/31/19
114,Maharashtra,WR,19.25023195,73.16017493,31/10/2019,479,10/31/19
115,Goa,WR,15.491997,73.81800065,31/10/2019,10.6,10/31/19
116,DNH,WR,20.26657819,73.0166178,31/10/2019,19.1,10/31/19
117,Andhra Pradesh,SR,14.7504291,78.57002559,31/10/2019,201.3,10/31/19
118,Telangana,SR,18.1124,79.0193,31/10/2019,247.4,10/31/19
119,Karnataka,SR,12.57038129,76.91999711,31/10/2019,258.6,10/31/19
120,Kerala,SR,8.900372741,76.56999263,31/10/2019,85.3,10/31/19
121,Tamil Nadu,SR,12.92038576,79.15004187,31/10/2019,345.6,10/31/19
122,Pondy,SR,11.93499371,79.83000037,31/10/2019,8.3,10/31/19
123,Bihar,ER,25.78541445,87.4799727,31/10/2019,74.1,10/31/19
124,Jharkhand,ER,23.80039349,86.41998572,31/10/2019,23.9,10/31/19
125,Odisha,ER,19.82042971,85.90001746,31/10/2019,69.3,10/31/19
126,West Bengal,ER,22.58039044,88.32994665,31/10/2019,141.3,10/31/19
127,Sikkim,ER,27.3333303,88.6166475,31/10/2019,1.4,10/31/19
128,Arunachal Pradesh,NER,27.10039878,93.61660071,31/10/2019,2.2,10/31/19
129,Assam,NER,26.7499809,94.21666744,31/10/2019,24.2,10/31/19
130,Manipur,NER,24.79997072,93.95001705,31/10/2019,2.9,10/31/19
131,NER Meghalaya,NER,25.57049217,91.8800142,31/10/2019,5.2,10/31/19
132,Mizoram,NER,23.71039899,92.72001461,31/10/2019,1.8,10/31/19
133,Nagaland,NER,25.6669979,94.11657019,31/10/2019,2.1,10/31/19
134,Tripura,NER,23.83540428,91.27999914,31/10/2019,3.8,10/31/19
135,ALL INDIA TOTAL,,,,31/10/2019,3593.5,10/31/19
136,Punjab,NR,31.51997398,75.98000281,1/11/19,105.6,11/1/19
137,Haryana,NR,28.45000633,77.01999101,1/11/19,117.4,11/1/19
138,Rajasthan,NR,26.44999921,74.63998124,1/11/19,210.3,11/1/19
139,Delhi,NR,28.6699929,77.23000403,1/11/19,63.4,11/1/19
140,NR UP,NR,27.59998069,78.05000565,1/11/19,263,11/1/19
141,Uttarakhand,NR,30.32040895,78.05000565,1/11/19,34.4,11/1/19
142,HP,NR,31.10002545,77.16659704,1/11/19,21.5,11/1/19
143,J&K,NR,33.45,76.24,1/11/19,47.3,11/1/19
144,Chandigarh,NR,30.71999697,76.78000565,1/11/19,3.1,11/1/19
145,Chhattisgarh,WR,22.09042035,82.15998734,1/11/19,83.6,11/1/19
146,Gujarat,WR,22.2587,71.1924,1/11/19,362.3,11/1/19
147,MP,WR,21.30039105,76.13001949,1/11/19,195.1,11/1/19
148,Maharashtra,WR,19.25023195,73.16017493,1/11/19,478.2,11/1/19
149,Goa,WR,15.491997,73.81800065,1/11/19,10.5,11/1/19
150,DNH,WR,20.26657819,73.0166178,1/11/19,18.9,11/1/19
151,Andhra Pradesh,SR,14.7504291,78.57002559,1/11/19,198.5,11/1/19
152,Telangana,SR,18.1124,79.0193,1/11/19,236.7,11/1/19
153,Karnataka,SR,12.57038129,76.91999711,1/11/19,251.1,11/1/19
154,Kerala,SR,8.900372741,76.56999263,1/11/19,84.5,11/1/19
155,Tamil Nadu,SR,12.92038576,79.15004187,1/11/19,348.3,11/1/19
156,Pondy,SR,11.93499371,79.83000037,1/11/19,8.5,11/1/19
157,Bihar,ER,25.78541445,87.4799727,1/11/19,75.2,11/1/19
158,Jharkhand,ER,23.80039349,86.41998572,1/11/19,22.9,11/1/19
159,Odisha,ER,19.82042971,85.90001746,1/11/19,64.8,11/1/19
160,West Bengal,ER,22.58039044,88.32994665,1/11/19,140.2,11/1/19
161,Sikkim,ER,27.3333303,88.6166475,1/11/19,1.3,11/1/19
162,Arunachal Pradesh,NER,27.10039878,93.61660071,1/11/19,2.3,11/1/19
163,Assam,NER,26.7499809,94.21666744,1/11/19,24.2,11/1/19
164,Manipur,NER,24.79997072,93.95001705,1/11/19,2.9,11/1/19
165,NER Meghalaya,NER,25.57049217,91.8800142,1/11/19,5.8,11/1/19
166,Mizoram,NER,23.71039899,92.72001461,1/11/19,1.8,11/1/19
167,Nagaland,NER,25.6669979,94.11657019,1/11/19,2.1,11/1/19
168,Tripura,NER,23.83540428,91.27999914,1/11/19,3.9,11/1/19
169,ALL INDIA TOTAL,,,,1/11/19,3565.2,11/1/19
170,Punjab,NR,31.51997398,75.98000281,2/11/19,105.7,11/2/19
171,Haryana,NR,28.45000633,77.01999101,2/11/19,115.1,11/2/19
172,Rajasthan,NR,26.44999921,74.63998124,2/11/19,202.4,11/2/19
173,Delhi,NR,28.6699929,77.23000403,2/11/19,59.1,11/2/19
174,NR UP,NR,27.59998069,78.05000565,2/11/19,255.7,11/2/19
175,Uttarakhand,NR,30.32040895,78.05000565,2/11/19,33.4,11/2/19
176,HP,NR,31.10002545,77.16659704,2/11/19,21.1,11/2/19
177,J&K,NR,33.45,76.24,2/11/19,47.7,11/2/19
178,Chandigarh,NR,30.71999697,76.78000565,2/11/19,2.8,11/2/19
179,Chhattisgarh,WR,22.09042035,82.15998734,2/11/19,84.4,11/2/19
180,Gujarat,WR,22.2587,71.1924,2/11/19,357.9,11/2/19
181,MP,WR,21.30039105,76.13001949,2/11/19,191.5,11/2/19
182,Maharashtra,WR,19.25023195,73.16017493,2/11/19,468.2,11/2/19
183,Goa,WR,15.491997,73.81800065,2/11/19,9.9,11/2/19
184,DNH,WR,20.26657819,73.0166178,2/11/19,18.9,11/2/19
185,Andhra Pradesh,SR,14.7504291,78.57002559,2/11/19,192.9,11/2/19
186,Telangana,SR,18.1124,79.0193,2/11/19,236.8,11/2/19
187,Karnataka,SR,12.57038129,76.91999711,2/11/19,244.8,11/2/19
188,Kerala,SR,8.900372741,76.56999263,2/11/19,81.7,11/2/19
189,Tamil Nadu,SR,12.92038576,79.15004187,2/11/19,339.8,11/2/19
190,Pondy,SR,11.93499371,79.83000037,2/11/19,8.3,11/2/19
191,Bihar,ER,25.78541445,87.4799727,2/11/19,68.6,11/2/19
192,Jharkhand,ER,23.80039349,86.41998572,2/11/19,23.3,11/2/19
193,Odisha,ER,19.82042971,85.90001746,2/11/19,71.6,11/2/19
194,West Bengal,ER,22.58039044,88.32994665,2/11/19,135.2,11/2/19
195,Sikkim,ER,27.3333303,88.6166475,2/11/19,1.4,11/2/19
196,Arunachal Pradesh,NER,27.10039878,93.61660071,2/11/19,2.2,11/2/19
197,Assam,NER,26.7499809,94.21666744,2/11/19,24,11/2/19
198,Manipur,NER,24.79997072,93.95001705,2/11/19,2.7,11/2/19
199,NER Meghalaya,NER,25.57049217,91.8800142,2/11/19,5.8,11/2/19
200,Mizoram,NER,23.71039899,92.72001461,2/11/19,1.8,11/2/19
201,Nagaland,NER,25.6669979,94.11657019,2/11/19,2.2,11/2/19
202,Tripura,NER,23.83540428,91.27999914,2/11/19,3.8,11/2/19
203,ALL INDIA TOTAL,,,,2/11/19,3495.1,11/2/19
204,Punjab,NR,31.51997398,75.98000281,3/11/19,86.3,11/3/19
205,Haryana,NR,28.45000633,77.01999101,3/11/19,93,11/3/19
206,Rajasthan,NR,26.44999921,74.63998124,3/11/19,178.7,11/3/19
207,Delhi,NR,28.6699929,77.23000403,3/11/19,46.1,11/3/19
208,NR UP,NR,27.59998069,78.05000565,3/11/19,240.8,11/3/19
209,Uttarakhand,NR,30.32040895,78.05000565,3/11/19,22.5,11/3/19
210,HP,NR,31.10002545,77.16659704,3/11/19,13,11/3/19
211,J&K,NR,33.45,76.24,3/11/19,45.6,11/3/19
212,Chandigarh,NR,30.71999697,76.78000565,3/11/19,2.4,11/3/19
213,Chhattisgarh,WR,22.09042035,82.15998734,3/11/19,81.6,11/3/19
214,Gujarat,WR,22.2587,71.1924,3/11/19,282.4,11/3/19
215,MP,WR,21.30039105,76.13001949,3/11/19,182.1,11/3/19
216,Maharashtra,WR,19.25023195,73.16017493,3/11/19,395.6,11/3/19
217,Goa,WR,15.491997,73.81800065,3/11/19,7.4,11/3/19
218,DNH,WR,20.26657819,73.0166178,3/11/19,13.5,11/3/19
219,Andhra Pradesh,SR,14.7504291,78.57002559,3/11/19,176.7,11/3/19
220,Telangana,SR,18.1124,79.0193,3/11/19,219.7,11/3/19
221,Karnataka,SR,12.57038129,76.91999711,3/11/19,226.4,11/3/19
222,Kerala,SR,8.900372741,76.56999263,3/11/19,69.9,11/3/19
223,Tamil Nadu,SR,12.92038576,79.15004187,3/11/19,276.5,11/3/19
224,Pondy,SR,11.93499371,79.83000037,3/11/19,6.1,11/3/19
225,Bihar,ER,25.78541445,87.4799727,3/11/19,68.2,11/3/19
226,Jharkhand,ER,23.80039349,86.41998572,3/11/19,21.5,11/3/19
227,Odisha,ER,19.82042971,85.90001746,3/11/19,66.5,11/3/19
228,West Bengal,ER,22.58039044,88.32994665,3/11/19,100.4,11/3/19
229,Sikkim,ER,27.3333303,88.6166475,3/11/19,1,11/3/19
230,Arunachal Pradesh,NER,27.10039878,93.61660071,3/11/19,2.1,11/3/19
231,Assam,NER,26.7499809,94.21666744,3/11/19,19,11/3/19
232,Manipur,NER,24.79997072,93.95001705,3/11/19,2.4,11/3/19
233,NER Meghalaya,NER,25.57049217,91.8800142,3/11/19,5.6,11/3/19
234,Mizoram,NER,23.71039899,92.72001461,3/11/19,1.6,11/3/19
235,Nagaland,NER,25.6669979,94.11657019,3/11/19,2.2,11/3/19
236,Tripura,NER,23.83540428,91.27999914,3/11/19,3.1,11/3/19
237,ALL INDIA TOTAL,,,,3/11/19,3025.3,11/3/19
238,Punjab,NR,31.51997398,75.98000281,4/11/19,96.1,11/4/19
239,Haryana,NR,28.45000633,77.01999101,4/11/19,120.7,11/4/19
240,Rajasthan,NR,26.44999921,74.63998124,4/11/19,226.5,11/4/19
241,Delhi,NR,28.6699929,77.23000403,4/11/19,74.9,11/4/19
242,NR UP,NR,27.59998069,78.05000565,4/11/19,296.5,11/4/19
243,Uttarakhand,NR,30.32040895,78.05000565,4/11/19,39.3,11/4/19
244,HP,NR,31.10002545,77.16659704,4/11/19,28.4,11/4/19
245,J&K,NR,33.45,76.24,4/11/19,33.6,11/4/19
246,Chandigarh,NR,30.71999697,76.78000565,4/11/19,4.6,11/4/19
247,Chhattisgarh,WR,22.09042035,82.15998734,4/11/19,77,11/4/19
248,Gujarat,WR,22.2587,71.1924,4/11/19,324.1,11/4/19
249,MP,WR,21.30039105,76.13001949,4/11/19,245.5,11/4/19
250,Maharashtra,WR,19.25023195,73.16017493,4/11/19,445.4,11/4/19
251,Goa,WR,15.491997,73.81800065,4/11/19,9.4,11/4/19
252,DNH,WR,20.26657819,73.0166178,4/11/19,18.9,11/4/19
253,Andhra Pradesh,SR,14.7504291,78.57002559,4/11/19,170.4,11/4/19
254,Telangana,SR,18.1124,79.0193,4/11/19,211,11/4/19
255,Karnataka,SR,12.57038129,76.91999711,4/11/19,222.7,11/4/19
256,Kerala,SR,8.900372741,76.56999263,4/11/19,69.3,11/4/19
257,Tamil Nadu,SR,12.92038576,79.15004187,4/11/19,294.7,11/4/19
258,Pondy,SR,11.93499371,79.83000037,4/11/19,7.1,11/4/19
259,Bihar,ER,25.78541445,87.4799727,4/11/19,83.8,11/4/19
260,Jharkhand,ER,23.80039349,86.41998572,4/11/19,24.6,11/4/19
261,Odisha,ER,19.82042971,85.90001746,4/11/19,66.2,11/4/19
262,West Bengal,ER,22.58039044,88.32994665,4/11/19,110.9,11/4/19
263,Sikkim,ER,27.3333303,88.6166475,4/11/19,2.1,11/4/19
264,Arunachal Pradesh,NER,27.10039878,93.61660071,4/11/19,2.2,11/4/19
265,Assam,NER,26.7499809,94.21666744,4/11/19,23.1,11/4/19
266,Manipur,NER,24.79997072,93.95001705,4/11/19,2.7,11/4/19
267,NER Meghalaya,NER,25.57049217,91.8800142,4/11/19,5.9,11/4/19
268,Mizoram,NER,23.71039899,92.72001461,4/11/19,1.6,11/4/19
269,Nagaland,NER,25.6669979,94.11657019,4/11/19,2.2,11/4/19
270,Tripura,NER,23.83540428,91.27999914,4/11/19,3.5,11/4/19
271,ALL INDIA TOTAL,,,,4/11/19,3421.3,11/4/19
272,Punjab,NR,31.51997398,75.98000281,5/11/19,105.4,11/5/19
273,Haryana,NR,28.45000633,77.01999101,5/11/19,123.2,11/5/19
274,Rajasthan,NR,26.44999921,74.63998124,5/11/19,226.8,11/5/19
275,Delhi,NR,28.6699929,77.23000403,5/11/19,74.9,11/5/19
276,NR UP,NR,27.59998069,78.05000565,5/11/19,289.5,11/5/19
277,Uttarakhand,NR,30.32040895,78.05000565,5/11/19,38.9,11/5/19
278,HP,NR,31.10002545,77.16659704,5/11/19,28.7,11/5/19
279,J&K,NR,33.45,76.24,5/11/19,38.1,11/5/19
280,Chandigarh,NR,30.71999697,76.78000565,5/11/19,4.7,11/5/19
281,Chhattisgarh,WR,22.09042035,82.15998734,5/11/19,78.4,11/5/19
282,Gujarat,WR,22.2587,71.1924,5/11/19,257.6,11/5/19
283,MP,WR,21.30039105,76.13001949,5/11/19,247.7,11/5/19
284,Maharashtra,WR,19.25023195,73.16017493,5/11/19,452.7,11/5/19
285,Goa,WR,15.491997,73.81800065,5/11/19,10.5,11/5/19
286,DNH,WR,20.26657819,73.0166178,5/11/19,18.1,11/5/19
287,Andhra Pradesh,SR,14.7504291,78.57002559,5/11/19,166.7,11/5/19
288,Telangana,SR,18.1124,79.0193,5/11/19,211.4,11/5/19
289,Karnataka,SR,12.57038129,76.91999711,5/11/19,230.7,11/5/19
290,Kerala,SR,8.900372741,76.56999263,5/11/19,70.4,11/5/19
291,Tamil Nadu,SR,12.92038576,79.15004187,5/11/19,287,11/5/19
292,Pondy,SR,11.93499371,79.83000037,5/11/19,7.1,11/5/19
293,Bihar,ER,25.78541445,87.4799727,5/11/19,82.5,11/5/19
294,Jharkhand,ER,23.80039349,86.41998572,5/11/19,24.8,11/5/19
295,Odisha,ER,19.82042971,85.90001746,5/11/19,68.2,11/5/19
296,West Bengal,ER,22.58039044,88.32994665,5/11/19,113.8,11/5/19
297,Sikkim,ER,27.3333303,88.6166475,5/11/19,1.9,11/5/19
298,Arunachal Pradesh,NER,27.10039878,93.61660071,5/11/19,2.3,11/5/19
299,Assam,NER,26.7499809,94.21666744,5/11/19,22.3,11/5/19
300,Manipur,NER,24.79997072,93.95001705,5/11/19,2.6,11/5/19
301,NER Meghalaya,NER,25.57049217,91.8800142,5/11/19,6,11/5/19
302,Mizoram,NER,23.71039899,92.72001461,5/11/19,1.6,11/5/19
303,Nagaland,NER,25.6669979,94.11657019,5/11/19,2.1,11/5/19
304,Tripura,NER,23.83540428,91.27999914,5/11/19,3.7,11/5/19
305,ALL INDIA TOTAL,,,,5/11/19,3376.2,11/6/19
306,Punjab,NR,31.51997398,75.98000281,6/11/19,111.4,11/6/19
307,Haryana,NR,28.45000633,77.01999101,6/11/19,127.7,11/6/19
308,Rajasthan,NR,26.44999921,74.63998124,6/11/19,233.3,11/6/19
309,Delhi,NR,28.6699929,77.23000403,6/11/19,75.4,11/6/19
310,NR UP,NR,27.59998069,78.05000565,6/11/19,284,11/6/19
311,Uttarakhand,NR,30.32040895,78.05000565,6/11/19,39.1,11/6/19
312,HP,NR,31.10002545,77.16659704,6/11/19,30.7,11/6/19
313,J&K,NR,33.45,76.24,6/11/19,43.8,11/6/19
314,Chandigarh,NR,30.71999697,76.78000565,6/11/19,4.6,11/6/19
315,Chhattisgarh,WR,22.09042035,82.15998734,6/11/19,77.8,11/6/19
316,Gujarat,WR,22.2587,71.1924,6/11/19,273.3,11/6/19
317,MP,WR,21.30039105,76.13001949,6/11/19,236.9,11/6/19
318,Maharashtra,WR,19.25023195,73.16017493,6/11/19,441.2,11/6/19
319,Goa,WR,15.491997,73.81800065,6/11/19,10.1,11/6/19
320,DNH,WR,20.26657819,73.0166178,6/11/19,17.9,11/6/19
321,Andhra Pradesh,SR,14.7504291,78.57002559,6/11/19,156,11/6/19
322,Telangana,SR,18.1124,79.0193,6/11/19,201.5,11/6/19
323,Karnataka,SR,12.57038129,76.91999711,6/11/19,220.5,11/6/19
324,Kerala,SR,8.900372741,76.56999263,6/11/19,70.2,11/6/19
325,Tamil Nadu,SR,12.92038576,79.15004187,6/11/19,238.5,11/6/19
326,Pondy,SR,11.93499371,79.83000037,6/11/19,5.7,11/6/19
327,Bihar,ER,25.78541445,87.4799727,6/11/19,80.7,11/6/19
328,Jharkhand,ER,23.80039349,86.41998572,6/11/19,24.9,11/6/19
329,Odisha,ER,19.82042971,85.90001746,6/11/19,67.8,11/6/19
330,West Bengal,ER,22.58039044,88.32994665,6/11/19,111.2,11/6/19
331,Sikkim,ER,27.3333303,88.6166475,6/11/19,1.9,11/6/19
332,Arunachal Pradesh,NER,27.10039878,93.61660071,6/11/19,2.2,11/6/19
333,Assam,NER,26.7499809,94.21666744,6/11/19,20.5,11/6/19
334,Manipur,NER,24.79997072,93.95001705,6/11/19,2.7,11/6/19
335,NER Meghalaya,NER,25.57049217,91.8800142,6/11/19,5.9,11/6/19
336,Mizoram,NER,23.71039899,92.72001461,6/11/19,1.3,11/6/19
337,Nagaland,NER,25.6669979,94.11657019,6/11/19,2.1,11/6/19
338,Tripura,NER,23.83540428,91.27999914,6/11/19,3.8,11/6/19
339,ALL INDIA TOTAL,,,,6/11/19,3301.1,11/6/19
340,Punjab,NR,31.51997398,75.98000281,7/11/19,112,11/7/19
341,Haryana,NR,28.45000633,77.01999101,7/11/19,125.3,11/7/19
342,Rajasthan,NR,26.44999921,74.63998124,7/11/19,225.9,11/7/19
343,Delhi,NR,28.6699929,77.23000403,7/11/19,76.4,11/7/19
344,NR UP,NR,27.59998069,78.05000565,7/11/19,253.9,11/7/19
345,Uttarakhand,NR,30.32040895,78.05000565,7/11/19,39.8,11/7/19
346,HP,NR,31.10002545,77.16659704,7/11/19,31.1,11/7/19
347,J&K,NR,33.45,76.24,7/11/19,42.2,11/7/19
348,Chandigarh,NR,30.71999697,76.78000565,7/11/19,4.7,11/7/19
349,Chhattisgarh,WR,22.09042035,82.15998734,7/11/19,78.8,11/7/19
350,Gujarat,WR,22.2587,71.1924,7/11/19,309.7,11/7/19
351,MP,WR,21.30039105,76.13001949,7/11/19,214.5,11/7/19
352,Maharashtra,WR,19.25023195,73.16017493,7/11/19,438.8,11/7/19
353,Goa,WR,15.491997,73.81800065,7/11/19,10,11/7/19
354,DNH,WR,20.26657819,73.0166178,7/11/19,18.2,11/7/19
355,Andhra Pradesh,SR,14.7504291,78.57002559,7/11/19,153.7,11/7/19
356,Telangana,SR,18.1124,79.0193,7/11/19,200.8,11/7/19
357,Karnataka,SR,12.57038129,76.91999711,7/11/19,227.3,11/7/19
358,Kerala,SR,8.900372741,76.56999263,7/11/19,70.1,11/7/19
